Mandante;N° ID;Item number;Description in operating language;Responsible operator;Product;Commentaires CODIF;Infos nécessaires;Dent client;Review date/Payment due date;Bon pour codif;Temps d'étude (nb jour);Inhouse contact
AE;2155947;130;EN CO;;CODIF;noix de suspension pour la BA102 / machine attente info GVH;Oui;Non;09/06/2017;;10;PFR
AE;2156501;40;RMTP 49;;CODIF;C41R25 - 2200 mm - CLBR - AXS - HYUNDAI HX160L;Non;Non;01/01/2018;07/06/2017;10;NGA
AE;2156501;30;RMTP 49;;CODIF;R40G31 - 1100 mm x 850 lt - P401 - AXS - HYUNDAI HX160L;Non;Non;01/01/2018;07/06/2017;10;NGA
AE;2156501;20;RMTP 49;;CODIF;R40G31 - 600 mm x 390 lt - P401 - AXS - HYUNDAI XH160L;Non;Non;01/01/2018;07/06/2017;10;NGA
AE;2156501;10;RMTP 49;;CODIF;UA42H - HYUNDAI HX160L - REPRISE GODET ORIGINE Créer machine HX160L;Non;Non;01/01/2018;07/06/2017;10;NGA
AE;2156506;50;RMTP 49;;CODIF;C31R20 - 2000 mm x 625 lt - CLBR - AXS - HYUNDAI HW140;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156506;40;RMTP 49;;CODIF;R30G31 - 1100 mm x 740 lt  - P301 - AXS - HYUNDAI HW140;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156506;30;RMTP 49;;CODIF;R30G31 - 600 mm x 340 lt - P301 - AXS - HYUNDAI HW140;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156506;20;RMTP 49;;CODIF;R30G31- 400 mm - P301 - AXS - HYUNDAI HW140;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156506;10;RMTP 49;;CODIF;UA32H - HYUNDAI HW140 - REPRISE GODETS ORIGINE Créer machine HW140;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156507;50;RMTP 49;;CODIF;C31R20 - 2000 mm x 625 lt - CLBR - AXS - HYUNDAI HX140L;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156507;40;RMTP 49;;CODIF;R30G31 - 1100 mm x 740 lt - P301 - AXS - HYUNDAI HX140L;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156507;20;RMTP 49;;CODIF;R30G31 - 400 mm - P301 - AXS - HYUNDAI HX140L;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156509;40;RMTP 49;;CODIF;C41R25 - 2200 mm - CLBR - AXS - HYUNDAI HX160L;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156509;30;RMTP 49;;CODIF;R40G31 - 1100 mm x 850 lt - P401 - AXS - HYUNDAI HX160L;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156509;20;RMTP 49;;CODIF;R40G31 - 600 mm x 390 lt - P401 - AXS - HYUNDAI HX160L;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2156509;10;RMTP 49;;CODIF;UA42H - HYUNDAI HX160L - REPRISE GODETS ORIGINE;Non;Non;01/01/2019;07/06/2017;10;NGA
AE;2102234;10;ARDEN EQUIPMENT FOIRE/PRET;;CODIF;QA05 ArdenTilt pour Hitachi ZX26;Non;Non;29/09/2017;04/07/2017;5;VBE
AE;2102234;20;ARDEN EQUIPMENT FOIRE/PRET;;CODIF;QA11 ArdenTilt pour Hitachi ZX48 ou 50;Non;Non;29/09/2017;04/07/2017;5;VBE
AE;2102247;10;ARDEN EQUIPMENT FOIRE/PRET;;CODIF;QA05 ArdenTilt pour Hyundai R27Z;Non;Non;29/09/2017;04/07/2017;5;VBE
AE;2102745;50;FCE TP STE NOUVELLE;;CODIF;C12I08-140 - Kubota U55-4 équipé Oilquick OQ40/24E - Nue;Non;Non;06/10/2017;20/07/2017;10;VBE
